generation,scenario,seed,best,median,mean,arrival_ratio
0,Shuttle,11,1.44143,0.0980527,-0.0490041,0
1,Shuttle,11,1.33457,0.198643,0.0999851,0
2,Shuttle,11,1.49875,0.185694,0.0605899,0
3,Shuttle,11,2.77014,0.182073,0.0733718,0.000244141
4,Shuttle,11,1.48472,0.195272,0.0828686,0
5,Shuttle,11,3.12534,0.229028,0.150257,0.000244141
6,Shuttle,11,1.46179,0.24193,0.125881,0
7,Shuttle,11,1.42424,0.233395,0.108944,0
8,Shuttle,11,1.69315,0.252362,0.180414,0
9,Shuttle,11,2.04138,0.286073,0.192099,0.000488281
10,Shuttle,11,1.68399,0.2871,0.186313,0
11,Shuttle,11,1.53959,0.237937,0.153468,0
12,Shuttle,11,1.69644,0.339672,0.238652,0
13,Shuttle,11,1.78623,0.454302,0.339949,0
14,Shuttle,11,1.77927,0.51942,0.414073,0
15,Shuttle,11,1.77162,0.706763,0.553789,0
16,Shuttle,11,2.67883,0.814682,0.647388,0.000244141
17,Shuttle,11,1.97259,0.828824,0.631898,0
18,Shuttle,11,1.97527,0.843502,0.671788,0
19,Shuttle,11,1.91948,0.81316,0.639186,0
20,Shuttle,11,1.87788,0.928097,0.731894,0
21,Shuttle,11,2.72107,0.819548,0.693811,0.000244141
22,Shuttle,11,2.05703,0.822665,0.627584,0
23,Shuttle,11,2.34769,0.823837,0.636835,0
24,Shuttle,11,2.02326,0.852628,0.604702,0.000244141
25,Shuttle,11,2.30837,0.80502,0.606935,0
26,Shuttle,11,1.97753,0.792349,0.501874,0
27,Shuttle,11,2.19141,0.844439,0.622508,0
28,Shuttle,11,2.11555,0.780224,0.585898,0
29,Shuttle,11,1.93406,0.796464,0.591916,0
30,Shuttle,11,2.06442,0.892166,0.712159,0
31,Shuttle,11,2.28914,0.875722,0.669803,0
32,Shuttle,11,1.92745,0.842113,0.679177,0
33,Shuttle,11,2.06081,0.759981,0.575278,0.000244141
34,Shuttle,11,1.99908,0.795633,0.633838,0
35,Shuttle,11,2.25327,0.822703,0.658452,0
36,Shuttle,11,2.15669,0.914202,0.685968,0
37,Shuttle,11,2.10568,0.832848,0.627452,0
38,Shuttle,11,2.93653,0.824204,0.620402,0.000488281
39,Shuttle,11,2.40416,0.856715,0.629934,0
40,Shuttle,11,2.86492,0.802624,0.572861,0
41,Shuttle,11,2.23488,0.804102,0.536312,0
42,Shuttle,11,2.28472,0.868514,0.621919,0
43,Shuttle,11,2.83718,0.877937,0.656637,0.000488281
44,Shuttle,11,2.27449,0.813583,0.561832,0.000244141
45,Shuttle,11,2.58955,0.777815,0.575856,0.000244141
46,Shuttle,11,4.15316,0.822955,0.620596,0.000732422
47,Shuttle,11,4.63793,0.936301,0.719182,0.000732422
48,Shuttle,11,2.80656,0.970924,0.695225,0.000732422
49,Shuttle,11,3.98982,0.955206,0.685953,0.000488281
50,Shuttle,11,3.86425,0.921353,0.687654,0.00170898
51,Shuttle,11,4.64506,0.885606,0.63579,0.000976562
52,Shuttle,11,3.53962,0.898844,0.657755,0.000976562
53,Shuttle,11,4.54665,0.845915,0.666693,0.00219727
54,Shuttle,11,6.14258,1.00037,0.781913,0.00341797
55,Shuttle,11,4.8475,1.08312,0.926808,0.00341797
56,Shuttle,11,4.7087,1.14191,0.910705,0.00488281
57,Shuttle,11,4.92285,1.04302,0.893919,0.00610352
58,Shuttle,11,5.32646,1.1181,0.976152,0.00439453
59,Shuttle,11,6.0984,1.13849,0.948512,0.00683594
60,Shuttle,11,5.93084,1.15739,0.985016,0.00854492
61,Shuttle,11,6.4056,1.18898,1.08465,0.00683594
62,Shuttle,11,6.09509,1.21542,1.10788,0.00732422
