generation,scenario,seed,best,median,mean,arrival_ratio
0,Shuttle,23,1.33015,0.0750956,-0.0997691,0
1,Shuttle,23,1.71408,0.167766,0.05223,0
2,Shuttle,23,1.43023,0.196329,0.0760859,0
3,Shuttle,23,1.43627,0.264952,0.129425,0
4,Shuttle,23,1.58371,0.237542,0.119695,0
5,Shuttle,23,1.67058,0.275659,0.14991,0
6,Shuttle,23,1.68568,0.286182,0.15922,0
7,Shuttle,23,2.54631,0.301108,0.239937,0.000488281
8,Shuttle,23,2.09622,0.41907,0.329587,0
9,Shuttle,23,2.38597,0.486935,0.401946,0
10,Shuttle,23,2.21136,0.621428,0.508767,0
11,Shuttle,23,2.54255,0.843348,0.697645,0
12,Shuttle,23,2.85442,0.903042,0.734324,0
13,Shuttle,23,2.46379,0.961373,0.75647,0.000244141
14,Shuttle,23,2.60433,0.999746,0.80741,0
15,Shuttle,23,3.92831,0.948384,0.774181,0.000488281
16,Shuttle,23,2.88908,0.791678,0.633587,0.000244141
17,Shuttle,23,3.13062,0.916609,0.670302,0.000732422
18,Shuttle,23,3.2985,0.938049,0.71824,0.000488281
19,Shuttle,23,3.36647,0.910366,0.684537,0.000244141
20,Shuttle,23,3.06887,0.891049,0.69676,0.000244141
21,Shuttle,23,3.00604,0.906,0.67892,0.000488281
22,Shuttle,23,3.52639,0.914454,0.741086,0.000976562
23,Shuttle,23,3.23518,0.878676,0.73199,0.0012207
24,Shuttle,23,3.49833,0.861314,0.716844,0.000976562
25,Shuttle,23,3.46985,0.985146,0.766954,0.0012207
26,Shuttle,23,3.55558,0.907186,0.772968,0.000976562
27,Shuttle,23,5.0062,1.01749,0.801041,0.00146484
28,Shuttle,23,5.11569,0.979656,0.821365,0.00219727
29,Shuttle,23,4.1828,0.9648,0.760477,0.0012207
30,Shuttle,23,3.65913,0.837513,0.710248,0.00170898
31,Shuttle,23,4.98626,0.957118,0.724399,0.00292969
32,Shuttle,23,4.6387,0.899409,0.720528,0.00292969
33,Shuttle,23,5.18742,0.963053,0.722233,0.00244141
34,Shuttle,23,4.71877,0.865099,0.746616,0.00341797
35,Shuttle,23,3.67084,0.850122,0.725415,0.00146484
36,Shuttle,23,5.24899,1.01827,0.805639,0.00415039
37,Shuttle,23,3.88295,0.898505,0.753249,0.00244141
38,Shuttle,23,6.55689,0.954659,0.756283,0.00463867
39,Shuttle,23,7.53116,0.945917,0.797405,0.0065918
40,Shuttle,23,5.35123,0.923134,0.766604,0.00488281
41,Shuttle,23,5.88697,0.912826,0.837576,0.00366211
42,Shuttle,23,5.02615,1.13278,0.887105,0.00463867
43,Shuttle,23,7.36662,0.987791,0.832863,0.00585938
44,Shuttle,23,6.71466,1.14257,0.940556,0.00805664
45,Shuttle,23,4.95827,1.06291,0.835245,0.00561523
46,Shuttle,23,6.49889,1.03247,0.808856,0.00415039
47,Shuttle,23,5.00809,0.916836,0.850284,0.00683594
48,Shuttle,23,5.18493,1.21439,0.927435,0.00439453
49,Shuttle,23,7.50955,1.10692,0.913223,0.00683594
50,Shuttle,23,5.28055,1.16593,0.900737,0.00366211
51,Shuttle,23,6.59774,1.02388,0.867182,0.00732422
52,Shuttle,23,5.62105,1.10896,0.809126,0.00561523
53,Shuttle,23,4.83476,1.15037,0.915121,0.00610352
54,Shuttle,23,6.32271,1.19925,0.953789,0.00512695
55,Shuttle,23,6.64941,1.18601,0.930206,0.00585938
56,Shuttle,23,4.88732,1.19895,0.940927,0.00561523
57,Shuttle,23,4.72862,1.22203,1.04385,0.00585938
58,Shuttle,23,6.72165,1.16914,1.00794,0.00756836
59,Shuttle,23,6.32956,1.24577,1.06086,0.00708008
60,Shuttle,23,5.97059,1.20815,0.980381,0.00756836
61,Shuttle,23,6.54518,1.25859,1.01052,0.00610352
62,Shuttle,23,6.35869,1.16346,0.950742,0.00683594
63,Shuttle,23,6.72173,1.18579,0.955649,0.00610352
64,Shuttle,23,6.80167,1.08455,0.904283,0.00878906
65,Shuttle,23,7.72993,1.17825,1.02179,0.0100098
66,Shuttle,23,6.73385,1.14957,0.992218,0.00683594
67,Shuttle,23,6.54636,1.17966,1.00001,0.00732422
68,Shuttle,23,6.50643,1.19739,1.03086,0.00708008
69,Shuttle,23,6.41693,1.22544,1.06747,0.0109863
70,Shuttle,23,6.29216,1.1106,0.965692,0.00878906
71,Shuttle,23,5.65627,1.27592,1.15259,0.0112305
72,Shuttle,23,5.37987,1.22546,1.11363,0.0100098
73,Shuttle,23,7.84669,1.12472,1.03714,0.0114746
74,Shuttle,23,6.29611,1.27557,1.09683,0.0112305
75,Shuttle,23,6.59346,1.20036,1.01003,0.00708008
76,Shuttle,23,5.34745,1.18491,0.958981,0.00683594
77,Shuttle,23,6.54817,1.31839,1.10638,0.00878906
78,Shuttle,23,7.90428,1.38293,1.25667,0.0112305
79,Shuttle,23,5.96046,1.32219,1.18036,0.00805664
80,Shuttle,23,7.64906,1.32446,1.21656,0.0144043
81,Shuttle,23,6.31111,1.40888,1.22144,0.0131836
82,Shuttle,23,5.18229,1.3492,1.16555,0.0119629
83,Shuttle,23,6.38226,1.35694,1.16944,0.00952148
84,Shuttle,23,7.943,1.43602,1.29992,0.013916
85,Shuttle,23,7.71079,1.44575,1.29849,0.0158691
86,Shuttle,23,7.00158,1.49058,1.32296,0.0168457
87,Shuttle,23,8.35291,1.48085,1.36932,0.0229492
88,Shuttle,23,7.82482,1.49719,1.44516,0.0251465
89,Shuttle,23,8.13131,1.50206,1.46879,0.0292969
90,Shuttle,23,6.48335,1.4312,1.40558,0.0290527
91,Shuttle,23,8.15728,1.44001,1.50332,0.0341797
92,Shuttle,23,7.89709,1.46598,1.45235,0.0324707
93,Shuttle,23,6.48233,1.48249,1.47572,0.0292969
94,Shuttle,23,7.50081,1.49346,1.54042,0.0349121
95,Shuttle,23,6.49905,1.45548,1.34047,0.026123
96,Shuttle,23,7.97395,1.45955,1.44961,0.0354004
97,Shuttle,23,7.75911,1.43913,1.44557,0.0290527
98,Shuttle,23,8.26883,1.55541,1.60099,0.0422363
99,Shuttle,23,7.57355,1.52348,1.59136,0.0402832
