generation,scenario,seed,best,median,mean,arrival_ratio
0,Shuttle,11,1.94966,0.0856527,-0.0567229,0.000244141
1,Shuttle,11,1.78328,0.162322,0.0691971,0
2,Shuttle,11,2.15432,0.223808,0.142439,0.000244141
3,Shuttle,11,3.07507,0.204951,0.0979416,0.000488281
4,Shuttle,11,1.6088,0.234091,0.126249,0
5,Shuttle,11,1.88792,0.262003,0.135042,0.000244141
6,Shuttle,11,2.6706,0.244642,0.13071,0.0012207
7,Shuttle,11,1.56996,0.24836,0.0864089,0
8,Shuttle,11,2.45825,0.229344,0.132828,0.000488281
9,Shuttle,11,1.69607,0.258857,0.139067,0
10,Shuttle,11,1.67892,0.245335,0.15536,0
11,Shuttle,11,2.507,0.240228,0.143915,0.000488281
12,Shuttle,11,1.58243,0.235084,0.142893,0
13,Shuttle,11,2.14845,0.266619,0.163461,0
14,Shuttle,11,3.65816,0.272437,0.224765,0.000488281
15,Shuttle,11,2.02563,0.404877,0.356238,0
16,Shuttle,11,2.60817,0.466177,0.364308,0.000732422
17,Shuttle,11,3.06528,0.483784,0.39079,0.000244141
18,Shuttle,11,3.23617,0.543763,0.398035,0.000732422
19,Shuttle,11,3.0729,0.586588,0.433355,0.000976562
20,Shuttle,11,3.01755,0.596635,0.466927,0.000976562
21,Shuttle,11,3.28541,0.6321,0.502102,0.0012207
22,Shuttle,11,4.65308,0.733351,0.613847,0.00244141
23,Shuttle,11,4.70706,0.705178,0.577042,0.00219727
24,Shuttle,11,4.73779,0.720903,0.583652,0.00292969
25,Shuttle,11,4.6969,0.701104,0.611573,0.00390625
26,Shuttle,11,5.24713,0.76264,0.679241,0.00366211
27,Shuttle,11,3.09204,0.722421,0.608206,0.0012207
28,Shuttle,11,3.32089,0.74015,0.639473,0.00195312
29,Shuttle,11,5.2768,0.744613,0.677263,0.00341797
30,Shuttle,11,5.03478,0.738246,0.61885,0.00195312
31,Shuttle,11,3.4136,0.737219,0.606415,0.00170898
32,Shuttle,11,4.84833,0.741998,0.606751,0.00170898
33,Shuttle,11,4.80815,0.71093,0.619472,0.00195312
34,Shuttle,11,4.7232,0.703726,0.602009,0.00268555
35,Shuttle,11,4.44133,0.70713,0.568705,0.00341797
36,Shuttle,11,3.5181,0.757961,0.675256,0.00170898
37,Shuttle,11,6.19311,0.680782,0.569166,0.00170898
38,Shuttle,11,4.46707,0.702248,0.603649,0.00170898
39,Shuttle,11,4.77226,0.731598,0.617138,0.00146484
40,Shuttle,11,4.42229,0.72367,0.55873,0.0012207
41,Shuttle,11,4.4345,0.765633,0.670613,0.00244141
42,Shuttle,11,6.4495,0.708623,0.648786,0.00244141
43,Shuttle,11,4.87938,0.717942,0.590527,0.00219727
44,Shuttle,11,4.54163,0.713699,0.552269,0.00195312
45,Shuttle,11,6.44983,0.739699,0.641731,0.00317383
46,Shuttle,11,4.78118,0.710899,0.643607,0.00268555
47,Shuttle,11,4.81869,0.721704,0.616959,0.00366211
48,Shuttle,11,4.66657,0.708077,0.591995,0.00170898
49,Shuttle,11,4.03901,0.721226,0.5976,0.00195312
50,Shuttle,11,4.65808,0.752101,0.620867,0.00195312
51,Shuttle,11,4.54055,0.733404,0.659283,0.00146484
52,Shuttle,11,2.94197,0.73445,0.63795,0.000976562
53,Shuttle,11,4.63563,0.743057,0.659631,0.00244141
54,Shuttle,11,4.41896,0.765986,0.713452,0.00244141
55,Shuttle,11,4.79751,0.676547,0.604545,0.00292969
56,Shuttle,11,6.21356,0.728243,0.648515,0.00292969
57,Shuttle,11,5.03383,0.734541,0.613595,0.00146484
58,Shuttle,11,5.05629,0.754913,0.635237,0.00292969
59,Shuttle,11,6.9418,0.76355,0.693432,0.00512695
60,Shuttle,11,3.67777,0.768028,0.629993,0.0012207
61,Shuttle,11,4.95546,0.809502,0.677001,0.00268555
62,Shuttle,11,5.02742,0.743168,0.635384,0.00170898
63,Shuttle,11,5.05205,0.7206,0.653032,0.00244141
64,Shuttle,11,6.17032,0.759657,0.729091,0.00317383
65,Shuttle,11,6.17199,0.739715,0.700033,0.00341797
