generation,scenario,seed,best,median,mean,arrival_ratio
0,Shuttle,5,1.6561,0.0885467,-0.102081,0
1,Shuttle,5,2.65661,0.206422,0.0587571,0.000244141
2,Shuttle,5,1.58608,0.246489,0.0942783,0
3,Shuttle,5,1.96644,0.206867,0.0636235,0
4,Shuttle,5,2.79335,0.265945,0.158666,0.000488281
5,Shuttle,5,2.72869,0.252909,0.13874,0.000244141
6,Shuttle,5,2.12644,0.231752,0.0950195,0.000244141
7,Shuttle,5,1.82573,0.235599,0.0934793,0
8,Shuttle,5,2.01967,0.265403,0.130054,0
9,Shuttle,5,2.34547,0.312802,0.167508,0
0,Shuttle,5,1.6561,0.0885467,-0.102081,0
1,Shuttle,5,2.65661,0.206422,0.0587571,0.000244141
2,Shuttle,5,1.58608,0.246489,0.0942784,0
3,Shuttle,5,1.96644,0.206867,0.0636235,0
4,Shuttle,5,2.79335,0.265945,0.158673,0.000488281
5,Shuttle,5,2.72869,0.252909,0.13874,0.000244141
6,Shuttle,5,2.12644,0.231752,0.0950203,0.000244141
7,Shuttle,5,1.82573,0.235599,0.0934791,0
8,Shuttle,5,2.01967,0.265403,0.130054,0
9,Shuttle,5,2.34547,0.312802,0.167508,0
